Interval=	0.0025 s
ExcelDateTime=	4.4991596726522410e+004	3/6/2023 14:19:17.171536
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1
Range=	200.0 µV
2.985	-39.0
2.9875	-39.5
2.99	-39.2
2.9925	-35.5
2.995	-26.8
2.9975	-30.1
3	-33.4
3.0025	-28.2
3.005	-28.7
3.0075	-30.6
3.01	-22.8
3.0125	-20.3
3.015	-23.6
3.0175	-19.6
3.02	-19.5
3.0225	-15.8
3.025	-13.1
3.0275	-13.2
3.03	-7.2
3.0325	-8.2
3.035	-13.2
3.0375	-14.5
3.04	-5.8
3.0425	-7.4
3.045	-17.0
3.0475	-17.0
3.05	-19.1
3.0525	-20.3
3.055	-16.9
3.0575	-8.6
3.06	3.8
3.0625	-4.2
3.065	-4.2
3.0675	-14.0
3.07	-31.2
3.0725	-8.4
3.075	-0.3
3.0775	-20.8
3.08	-23.6
3.0825	-13.1
3.085	-18.0
3.0875	-19.3
3.09	-13.7
3.0925	-16.4
3.095	-18.1
3.0975	-15.9
3.1	-16.6
3.1025	-19.1
3.105	-20.5
3.1075	-21.1
3.11	-18.5
3.1125	-17.4
3.115	-18.1
3.1175	-17.6
3.12	-13.8
3.1225	-14.1
3.125	-22.8
3.1275	-22.8
3.13	-13.6
3.1325	-11.4
3.135	-10.8
3.1375	-14.1
3.14	-12.1
3.1425	-7.4
3.145	-17.4
3.1475	-24.8
3.15	-30.4
3.1525	-29.8
3.155	-28.1
3.1575	-25.4
3.16	-14.4
3.1625	-17.2
3.165	-16.8
3.1675	-10.8
3.17	-20.1
3.1725	-26.3
3.175	-19.6
3.1775	-16.1
3.18	-18.2
3.1825	-13.8
3.185	-16.8
3.1875	-26.3
3.19	-22.1
3.1925	-15.1
3.195	-19.4
3.1975	-22.1
3.2	-20.5
3.2025	-25.4
3.205	-15.2
3.2075	-7.4
3.21	-25.5
3.2125	-29.6
3.215	-16.0
3.2175	-21.1
3.22	-21.7
3.2225	-13.5
3.225	-18.6
3.2275	-17.2
3.23	-14.3
3.2325	-14.5
3.235	-8.4
3.2375	-7.8
3.24	-20.4
3.2425	-14.1
3.245	-0.5
3.2475	-10.0
3.25	-13.9
3.2525	-10.3
3.255	-9.2
3.2575	1.2
