Interval=	0.0025 s
ExcelDateTime=	4.4991637778096825e+004	3/6/2023 15:18:24.027566
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1
Range=	200.0 µV
3.335	-73.8
3.3375	-71.9
3.34	-73.7
3.3425	-73.9
3.345	-79.7
3.3475	-79.8
3.35	-73.0
3.3525	-71.4
3.355	-69.4
3.3575	-64.0
3.36	-55.2
3.3625	-48.6
3.365	-47.4
3.3675	-37.4
3.37	-27.4
3.3725	-26.5
3.375	-23.3
3.3775	-30.9
3.38	-34.7
3.3825	-40.4
3.385	-29.2
3.3875	-13.1
3.39	-21.6
3.3925	-28.0
3.395	-29.7
3.3975	-32.5
3.4	-39.9
3.4025	-38.1
3.405	-29.4
3.4075	-26.8
3.41	-41.5
3.4125	-47.9
3.415	-28.0
3.4175	-33.6
3.42	-59.1
3.4225	-66.5
3.425	-62.5
3.4275	-54.9
3.43	-64.5
3.4325	-77.0
3.435	-82.1
3.4375	-78.6
3.44	-67.3
3.4425	-68.3
3.445	-60.7
3.4475	-50.1
3.45	-52.9
3.4525	-52.2
3.455	-38.5
3.4575	-30.0
3.46	-39.1
3.4625	-36.1
3.465	-18.4
3.4675	-18.3
3.47	-26.5
3.4725	-20.8
3.475	-21.0
3.4775	-24.3
3.48	-19.5
3.4825	-19.3
3.485	-23.5
3.4875	-23.7
3.49	-23.0
3.4925	-24.5
3.495	-27.7
3.4975	-34.7
3.5	-38.6
3.5025	-43.1
3.505	-49.2
3.5075	-49.1
3.51	-47.2
3.5125	-40.3
3.515	-45.1
3.5175	-58.3
3.52	-58.6
3.5225	-55.6
3.525	-58.2
3.5275	-62.5
3.53	-65.8
3.5325	-61.5
3.535	-49.6
3.5375	-52.9
3.54	-58.3
3.5425	-59.0
3.545	-59.1
3.5475	-53.8
3.55	-51.8
3.5525	-48.2
3.555	-40.9
3.5575	-32.0
3.56	-29.0
3.5625	-32.7
3.565	-23.4
3.5675	-2.6
3.57	-6.4
3.5725	-9.8
3.575	-14.9
3.5775	-31.9
3.58	-28.3
3.5825	-29.9
3.585	-30.4
3.5875	-28.6
3.59	-35.9
3.5925	-31.2
3.595	-24.3
3.5975	-32.2
3.6	-37.1
3.6025	-45.0
3.605	-51.4
3.6075	-47.4
3.61	-48.9
3.6125	-41.3
3.615	-41.9
3.6175	-52.2
3.62	-47.9
3.6225	-54.0
3.625	-56.5
3.6275	-54.0
3.63	-59.4
3.6325	-54.7
3.635	-50.4
3.6375	-51.3
3.64	-42.6
3.6425	-29.4
3.645	-34.6
3.6475	-44.0
3.65	-45.5
3.6525	-38.3
3.655	-31.5
3.6575	-24.7
3.66	-24.8
3.6625	-31.3
